Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Krapinsko-zagorska,Hrvatska,Intraffico d.o.o. za trgovinu,Terenski prodajni predstavnik (m/ž),17.08.2021.,https://www.moj-posao.net/Posao/537740/Terenski-prodajni-predstavnik-mz/
Krapinsko-zagorska,Koprivnica Zagorska,JYSK d.o.o.,Prodavač / skladištar (m/ž),17.08.2021.,https://www.moj-posao.net/Posao/537280/Prodavac-skladistar-mz/
Krapinsko-zagorska,središnja Hrvatska,Electus DGS d.o.o.,Klinaš (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/536986/Klinas-mz/
Krapinsko-zagorska,"Croatia, remote work",Cloudsense d.o.o.,Junior Technical Consultant (m/f),12.08.2021.,https://www.moj-posao.net/Posao/536667/Junior-Technical-Consultant-mf/
Krapinsko-zagorska,"Croatia, remote work",Cloudsense d.o.o.,Mid/Senior Technical Consultant (m/f),12.08.2021.,https://www.moj-posao.net/Posao/536672/MidSenior-Technical-Consultant-mf/
Krapinsko-zagorska,"Croatia, remote work",Cloudsense d.o.o.,Solution Architect (m/f),12.08.2021.,https://www.moj-posao.net/Posao/536677/Solution-Architect-mf/
Krapinsko-zagorska,remote,AA EURO CROATIA društvo s ograničenom odgovornošću za usluge,Full Stack / Backend Developer (m/f),20.08.2021.,https://www.moj-posao.net/Posao/536010/Full-Stack-Backend-Developer-mf/
Krapinsko-zagorska,cijela Hrvatska,Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem nizozemskog jezika (m/ž),23.08.2021.,https://www.moj-posao.net/Posao/525691/Specijalist-korisnicke-podrske-sa-znanjem-nizozemskog-jezika-mz/
Krapinsko-zagorska,"Zagreb, Varaždin, rad od kuće",Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem njemačkog jezika (m/ž),23.08.2021.,https://www.moj-posao.net/Posao/521403/Specijalist-korisnicke-podrske-sa-znanjem-njemackog-jezika-mz/
Krapinsko-zagorska,"Zagreb, remote",MIND Solutions d.o.o.,IT Technician (m/f),23.08.2021.,https://www.moj-posao.net/Posao/537457/IT-Technician-mf/
Krapinsko-zagorska,"Zagreb, Samobor, Bjelovar, Ludbreg, Sveti Ivan Zelina, Varaždin, Čakovec, Karlovac, Zlatar, Stupnik, Poreč, Šibenik",Spar Hrvatska d.o.o.,Prodavač / blagajnik (m/ž),10.08.2021.,https://www.moj-posao.net/Posao/537128/Prodavac-blagajnik-mz/
Krapinsko-zagorska,"Zagreb, Rijeka, Velika Gorica, Čakovec, Buje, Zlatar, Zadar, Samobor, Split",Spar Hrvatska d.o.o.,Mesar (m/ž),10.08.2021.,https://www.moj-posao.net/Posao/537144/Mesar-mz/
Krapinsko-zagorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Recruitment Consultant (m/f),31.08.2021.,https://www.moj-posao.net/Posao/534539/Recruitment-Consultant-mf/
Krapinsko-zagorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Junior Recruitment Consultant (m/f),31.08.2021.,https://www.moj-posao.net/Posao/534540/Junior-Recruitment-Consultant-mf/
Krapinsko-zagorska,"Zagreb, Varaždin, Homeoffice",ecx.io,.NET Developer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/533975/NET-Developer-mf/
Krapinsko-zagorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Senior Java Developer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/517467/Senior-Java-Developer-mf/
Krapinsko-zagorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Senior Frontend Developer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/520466/Senior-Frontend-Developer-mf/
Krapinsko-zagorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Senior Software Quality Engineer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/516964/Senior-Software-Quality-Engineer-mf/
Krapinsko-zagorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Java Developer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/493513/Java-Developer-mf/
Krapinsko-zagorska,"Bjelovar, Kenđelovec, Čakovec, Sveti Ivan Zelina, Labin, Novigrad (Istarski), Poreč, Pula, Rijeka, Rupa, Umag, Varaždin, Vrsar, Sveti Križ Začretje, Zadar, Zagreb",CRODUX DERIVATI DVA društvo s ograničenom odgovornošću  za trgovinu naftnim derivatima i plinovima,Prodavač - konobar (m/ž),26.08.2021.,https://www.moj-posao.net/Posao/536368/Prodavac-konobar-mz/
Krapinsko-zagorska,"Zagreb, rad od kuće",Smart Flex d.o.o.,Suradnik za poljsko tržište (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/535208/Suradnik-za-poljsko-trziste-mz/
Krapinsko-zagorska,"rad od kuće, Zagreb",Smart Flex d.o.o.,Savjetnik za chat podršku na njemačkom jeziku (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/537489/Savjetnik-za-chat-podrsku-na-njemackom-jeziku-mz/
Krapinsko-zagorska,cijela Hrvatska,Smart Flex d.o.o.,"Radnik na montaži fasadnih sustava, ALU i PVC stolarije (m/ž)",16.08.2021.,https://www.moj-posao.net/Posao/537523/Radnik-na-montazi-fasadnih-sustava-ALU-i-PVC-stolarije-mz/
Krapinsko-zagorska,"cijela Hrvatska, rad od kuće",HSG Kariera d.o.o.,Call agent na češkom ili slovačkom jeziku (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537054/Call-agent-na-ceskom-ili-slovackom-jeziku-mz/
Krapinsko-zagorska,rad od kuće,HSG Kariera d.o.o.,Agent za zaprimanje dolaznih upita na njemačkom jeziku (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537056/Agent-za-zaprimanje-dolaznih-upita-na-njemackom-jeziku-mz/
Krapinsko-zagorska,cijela Hrvatska,KAMGRAD d.o.o. za graditeljstvo i trgovinu,Građevinski poslovođa (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/536190/Gradjevinski-poslovodja-mz/
Krapinsko-zagorska,Sveti Križ Začretje,Electus DGS d.o.o.,Voditelj metalne proizvodnje (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/536273/Voditelj-metalne-proizvodnje-mz/
Krapinsko-zagorska,Sveti Križ Začretje,Electus DGS d.o.o.,Voditelj nabave (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/536270/Voditelj-nabave-mz/
Krapinsko-zagorska,Sveti Križ Začretje,Electus DGS d.o.o.,Voditelj skladišta i logistike (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/536269/Voditelj-skladista-i-logistike-mz/
Krapinsko-zagorska,"Zagreb, Metković, cijela Hrvatska",Atlantic Grupa - Farmacia,Farmaceut (m/ž),06.09.2021.,https://www.moj-posao.net/Posao/501383/Farmaceut-mz/
Krapinsko-zagorska,"Zagreb, Novalja, cijela Hrvatska",Atlantic Grupa - Farmacia,Farmaceutski tehničar (m/ž),06.09.2021.,https://www.moj-posao.net/Posao/498022/Farmaceutski-tehnicar-mz/
Krapinsko-zagorska,Njemačka,NEXUS d.o.o. za proizvodnju i usluge,Monter čeličnih konstrukcija (m/ž),17.08.2021.,https://www.moj-posao.net/Posao/537303/Monter-celicnih-konstrukcija-mz/
Krapinsko-zagorska,"Zagreb, Varaždin, rad od kuće","CITY CONNECT, društvo s ograničenom odgovornošću za usluge",Specijalist korisničke podrške na njemačkom jeziku (m/ž),16.08.2021.,https://www.moj-posao.net/Posao/536670/Specijalist-korisnicke-podrske-na-njemackom-jeziku-mz/
Krapinsko-zagorska,cijela Hrvatska,Roaming Networks,Monter za pristupne mreže (m/ž),12.08.2021.,https://www.moj-posao.net/Posao/536537/Monter-za-pristupne-mreze-mz/
Krapinsko-zagorska,prema mjestu stanovanja,Troha Infinitus d.o.o.,Agent za poslovne korisnike na njemačkom jeziku (m/ž),19.08.2021.,https://www.moj-posao.net/Posao/535226/Agent-za-poslovne-korisnike-na-njemackom-jeziku-mz/
Krapinsko-zagorska,rad od kuće,DEKRA zapošljavanje d.o.o.,Area Sales Manager (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/536951/Area-Sales-Manager-mz/
Krapinsko-zagorska,"Zagreb, rad od kuće",Thespian d.o.o.,JavaScript developer (m/ž),15.08.2021.,https://www.moj-posao.net/Posao/537372/JavaScript-developer-mz/
Krapinsko-zagorska,rad od kuće,zeus prima d.o.o.,Agent za korisničku podršku na njemačkom jeziku (m/ž),04.09.2021.,https://www.moj-posao.net/Posao/537495/Agent-za-korisnicku-podrsku-na-njemackom-jeziku-mz/
Krapinsko-zagorska,"Zagreb, rad od kuće",media-press.tv ADRIA društvo s ograničenom odgovornošću za trgovinu,Python Data Engineer (m/ž),18.08.2021.,https://www.moj-posao.net/Posao/537451/Python-Data-Engineer-mz/
Krapinsko-zagorska,Prema mjestu stanovanja,Fortis informatika d.o.o.,Content Writer (m/ž),17.09.2021.,https://www.moj-posao.net/Posao/537036/Content-Writer-mz/
Krapinsko-zagorska,Veliko Trgovišće,MDK GRAĐEVINAR d.o.o. - Kai bar,Konobar (m/ž),17.08.2021.,https://www.moj-posao.net/Posao/537225/Konobar-mz/
Krapinsko-zagorska,cijela Hrvatska,Securitas Hrvatska d.o.o.,Zaštitar / čuvar (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537039/Zastitar-cuvar-mz/
Krapinsko-zagorska,Hum na Sutli,VETROPACK STRAŽA TVORNICA STAKLA D.D.,Group Energy Buyer (m/f),16.08.2021.,https://www.moj-posao.net/Posao/537069/Group-Energy-Buyer-mf/
Krapinsko-zagorska,"cijela Hrvatska, remote",ENEA Software d.o.o.,Certified Senior Project Manager (m/f),28.08.2021.,https://www.moj-posao.net/Posao/536693/Certified-Senior-Project-Manager-mf/
Krapinsko-zagorska,"Zagreb, Rijeka, Pula, Drniš, Živogošće, Čakovec, Varaždin, Dugo Selo, Vrbovec, Sveti Ivan Zelina, Krapina, Zabok, Gospić, Krk, Crikvenica, Delnice, Sisak, Petrinja, Glina, Popovača, Hrvatska Kostajnica, Zadar, Dubrovnik, otok Hvar, Živogošće, Drniš, Brač",SOKOL d.o.o. za usluge zaštite osoba i imovine,Zaštitar - čuvar (m/ž),14.08.2021.,https://www.moj-posao.net/Posao/536679/Zastitar-cuvar-mz/
Krapinsko-zagorska,cijela Hrvatska,ENEA Software d.o.o.,Integration Engineer (m/f),27.08.2021.,https://www.moj-posao.net/Posao/536533/Integration-Engineer-mf/
Krapinsko-zagorska,Krapina,"UGOSTITELJSTVO, TRGOVINA I USLUGE ""TRICA"", IVAN KONJIĆ",Pomoćni kuhar (m/ž),10.08.2021.,https://www.moj-posao.net/Poslovac/74477/Pomocni-kuhar-mz/
Krapinsko-zagorska,Krapina,STAKLO DOM GRUPA d.o.o.,Monter pvc i alu stolarije (m/ž),18.08.2021.,https://www.moj-posao.net/Poslovac/74926/Monter-pvc-i-alu-stolarije-mz/
Bjelovarsko-bilogorska,Hrvatska,Intraffico d.o.o. za trgovinu,Terenski prodajni predstavnik (m/ž),17.08.2021.,https://www.moj-posao.net/Posao/537740/Terenski-prodajni-predstavnik-mz/
Bjelovarsko-bilogorska,"Velika Gorica, Zagreb, Vrbovec, Bjelovar",DEKRA za privremeno zapošljavanje d.o.o.,Prodavač delikatesa (m/ž),18.08.2021.,https://www.moj-posao.net/Posao/537475/Prodavac-delikatesa-mz/
Bjelovarsko-bilogorska,"cijela Hrvatska, rad od kuće",HSG Kariera d.o.o.,Call agent na češkom ili slovačkom jeziku (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537054/Call-agent-na-ceskom-ili-slovackom-jeziku-mz/
Bjelovarsko-bilogorska,rad od kuće,HSG Kariera d.o.o.,Agent za zaprimanje dolaznih upita na njemačkom jeziku (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537056/Agent-za-zaprimanje-dolaznih-upita-na-njemackom-jeziku-mz/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Recruitment Consultant (m/f),31.08.2021.,https://www.moj-posao.net/Posao/534539/Recruitment-Consultant-mf/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Junior Recruitment Consultant (m/f),31.08.2021.,https://www.moj-posao.net/Posao/534540/Junior-Recruitment-Consultant-mf/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, Homeoffice",ecx.io,.NET Developer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/533975/NET-Developer-mf/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Senior Java Developer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/517467/Senior-Java-Developer-mf/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Senior Frontend Developer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/520466/Senior-Frontend-Developer-mf/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Senior Software Quality Engineer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/516964/Senior-Software-Quality-Engineer-mf/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, Homeoffice",ecx.io,Java Developer (m/f),31.08.2021.,https://www.moj-posao.net/Posao/493513/Java-Developer-mf/
Bjelovarsko-bilogorska,"Bjelovar, Kenđelovec, Čakovec, Sveti Ivan Zelina, Labin, Novigrad (Istarski), Poreč, Pula, Rijeka, Rupa, Umag, Varaždin, Vrsar, Sveti Križ Začretje, Zadar, Zagreb",CRODUX DERIVATI DVA društvo s ograničenom odgovornošću  za trgovinu naftnim derivatima i plinovima,Prodavač - konobar (m/ž),26.08.2021.,https://www.moj-posao.net/Posao/536368/Prodavac-konobar-mz/
Bjelovarsko-bilogorska,"Zagreb, rad od kuće",Smart Flex d.o.o.,Suradnik za poljsko tržište (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/535208/Suradnik-za-poljsko-trziste-mz/
Bjelovarsko-bilogorska,"rad od kuće, Zagreb",Smart Flex d.o.o.,Savjetnik za chat podršku na njemačkom jeziku (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/537489/Savjetnik-za-chat-podrsku-na-njemackom-jeziku-mz/
Bjelovarsko-bilogorska,"Zagreb, remote",MIND Solutions d.o.o.,IT Technician (m/f),23.08.2021.,https://www.moj-posao.net/Posao/537457/IT-Technician-mf/
Bjelovarsko-bilogorska,Njemačka,NEXUS d.o.o. za proizvodnju i usluge,Monter čeličnih konstrukcija (m/ž),17.08.2021.,https://www.moj-posao.net/Posao/537303/Monter-celicnih-konstrukcija-mz/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, rad od kuće","CITY CONNECT, društvo s ograničenom odgovornošću za usluge",Specijalist korisničke podrške na njemačkom jeziku (m/ž),16.08.2021.,https://www.moj-posao.net/Posao/536670/Specijalist-korisnicke-podrske-na-njemackom-jeziku-mz/
Bjelovarsko-bilogorska,cijela Hrvatska,KAMGRAD d.o.o. za graditeljstvo i trgovinu,Građevinski poslovođa (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/536190/Gradjevinski-poslovodja-mz/
Bjelovarsko-bilogorska,prema mjestu stanovanja,Troha Infinitus d.o.o.,Agent za poslovne korisnike na njemačkom jeziku (m/ž),19.08.2021.,https://www.moj-posao.net/Posao/535226/Agent-za-poslovne-korisnike-na-njemackom-jeziku-mz/
Bjelovarsko-bilogorska,Slavonski Brod,Profesio d.o.o. za privremeno zapošljavanje i posredovanje pri zapošljavanju,Voditelj domaćinstva (m/ž),12.08.2021.,https://www.moj-posao.net/Posao/537569/Voditelj-domacinstva-mz/
Bjelovarsko-bilogorska,cijela Hrvatska,Smart Flex d.o.o.,"Radnik na montaži fasadnih sustava, ALU i PVC stolarije (m/ž)",16.08.2021.,https://www.moj-posao.net/Posao/537523/Radnik-na-montazi-fasadnih-sustava-ALU-i-PVC-stolarije-mz/
Bjelovarsko-bilogorska,Bjelovar,JYSK d.o.o.,Prodavač / skladištar (m/ž),17.08.2021.,https://www.moj-posao.net/Posao/537278/Prodavac-skladistar-mz/
Bjelovarsko-bilogorska,Bjelovar,PRIMA NAMJEŠTAJ - prodaja namještaja i opremanje objekata d.o.o.,Suradnik u ljudskim potencijalima (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/536910/Suradnik-u-ljudskim-potencijalima-mz/
Bjelovarsko-bilogorska,cijela Hrvatska,Roaming Networks,Monter za pristupne mreže (m/ž),12.08.2021.,https://www.moj-posao.net/Posao/536537/Monter-za-pristupne-mreze-mz/
Bjelovarsko-bilogorska,Bjelovar,Atlantic Grupa - Farmacia,Farmaceut (m/ž),06.09.2021.,https://www.moj-posao.net/Posao/507362/Farmaceut-mz/
Bjelovarsko-bilogorska,"Zagreb, Metković, cijela Hrvatska",Atlantic Grupa - Farmacia,Farmaceut (m/ž),06.09.2021.,https://www.moj-posao.net/Posao/501383/Farmaceut-mz/
Bjelovarsko-bilogorska,"Zagreb, Novalja, cijela Hrvatska",Atlantic Grupa - Farmacia,Farmaceutski tehničar (m/ž),06.09.2021.,https://www.moj-posao.net/Posao/498022/Farmaceutski-tehnicar-mz/
Bjelovarsko-bilogorska,rad od kuće,DEKRA zapošljavanje d.o.o.,Area Sales Manager (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/536951/Area-Sales-Manager-mz/
Bjelovarsko-bilogorska,središnja Hrvatska,MAPEI CROATIA d.o.o.,Prodajno-tehnički suradnik (m/ž),23.08.2021.,https://www.moj-posao.net/Posao/537535/Prodajno-tehnicki-suradnik-mz/
Bjelovarsko-bilogorska,"Zagreb, Samobor, Bjelovar, Ludbreg, Sveti Ivan Zelina, Varaždin, Čakovec, Karlovac, Zlatar, Stupnik, Poreč, Šibenik",Spar Hrvatska d.o.o.,Prodavač / blagajnik (m/ž),10.08.2021.,https://www.moj-posao.net/Posao/537128/Prodavac-blagajnik-mz/
Bjelovarsko-bilogorska,središnja Hrvatska,Electus DGS d.o.o.,Klinaš (m/ž),09.08.2021.,https://www.moj-posao.net/Posao/536986/Klinas-mz/
Bjelovarsko-bilogorska,"Croatia, remote work",Cloudsense d.o.o.,Junior Technical Consultant (m/f),12.08.2021.,https://www.moj-posao.net/Posao/536667/Junior-Technical-Consultant-mf/
Bjelovarsko-bilogorska,"Croatia, remote work",Cloudsense d.o.o.,Mid/Senior Technical Consultant (m/f),12.08.2021.,https://www.moj-posao.net/Posao/536672/MidSenior-Technical-Consultant-mf/
Bjelovarsko-bilogorska,"Croatia, remote work",Cloudsense d.o.o.,Solution Architect (m/f),12.08.2021.,https://www.moj-posao.net/Posao/536677/Solution-Architect-mf/
Bjelovarsko-bilogorska,remote,AA EURO CROATIA društvo s ograničenom odgovornošću za usluge,Full Stack / Backend Developer (m/f),20.08.2021.,https://www.moj-posao.net/Posao/536010/Full-Stack-Backend-Developer-mf/
Bjelovarsko-bilogorska,cijela Hrvatska,Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem nizozemskog jezika (m/ž),23.08.2021.,https://www.moj-posao.net/Posao/525691/Specijalist-korisnicke-podrske-sa-znanjem-nizozemskog-jezika-mz/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, rad od kuće",Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem njemačkog jezika (m/ž),23.08.2021.,https://www.moj-posao.net/Posao/521403/Specijalist-korisnicke-podrske-sa-znanjem-njemackog-jezika-mz/
Bjelovarsko-bilogorska,"Zagreb, rad od kuće",Thespian d.o.o.,JavaScript developer (m/ž),15.08.2021.,https://www.moj-posao.net/Posao/537372/JavaScript-developer-mz/
Bjelovarsko-bilogorska,rad od kuće,zeus prima d.o.o.,Agent za korisničku podršku na njemačkom jeziku (m/ž),04.09.2021.,https://www.moj-posao.net/Posao/537495/Agent-za-korisnicku-podrsku-na-njemackom-jeziku-mz/
Bjelovarsko-bilogorska,"Zagreb, rad od kuće",media-press.tv ADRIA društvo s ograničenom odgovornošću za trgovinu,Python Data Engineer (m/ž),18.08.2021.,https://www.moj-posao.net/Posao/537451/Python-Data-Engineer-mz/
Bjelovarsko-bilogorska,Prema mjestu stanovanja,Fortis informatika d.o.o.,Content Writer (m/ž),17.09.2021.,https://www.moj-posao.net/Posao/537036/Content-Writer-mz/
Bjelovarsko-bilogorska,cijela Hrvatska,Securitas Hrvatska d.o.o.,Zaštitar / čuvar (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537039/Zastitar-cuvar-mz/
Bjelovarsko-bilogorska,"cijela Hrvatska, remote",ENEA Software d.o.o.,Certified Senior Project Manager (m/f),28.08.2021.,https://www.moj-posao.net/Posao/536693/Certified-Senior-Project-Manager-mf/
Bjelovarsko-bilogorska,cijela Hrvatska,ENEA Software d.o.o.,Integration Engineer (m/f),27.08.2021.,https://www.moj-posao.net/Posao/536533/Integration-Engineer-mf/
Bjelovarsko-bilogorska,Zagreb,"AUTEGRA d.o.o., društvo s ograničenom odgovornošću za proizvodnju, trgovinu i usluge",Inženjer elektrotehnike (m/ž),20.08.2021.,https://www.moj-posao.net/Posao/535741/Inzenjer-elektrotehnike-mz/
Bjelovarsko-bilogorska,cijela Hrvatska,Top Quality Group Srl,Primalja - Mediciska sestra / tehničar / Specijalist - mentor za uporabu tehnologije (m/ž),16.08.2021.,https://www.moj-posao.net/Posao/537068/Primalja-Mediciska-sestra-tehnicar-Specijalist-mentor-za-uporabu-tehnologije-mz/
Bjelovarsko-bilogorska,Croatia,"Learnlight Services, S.L.",Junior Program Management Administrator (m/f),14.08.2021.,https://www.moj-posao.net/Posao/534921/Junior-Program-Management-Administrator-mf/
Bjelovarsko-bilogorska,Bjelovar,"KUDUMIJA TRADE društvo s ograničenom odgovornošću za proizvodnju, trgovinu i ugostiteljstvo",Monter metalnih konstrukcija (m/ž),09.08.2021.,https://www.moj-posao.net/Poslovac/74405/Monter-metalnih-konstrukcija-mz/
