Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Inozemstvo,Austrija,Euro Career j.d.o.o.,Sobar / Sobarica,27.09.2021.,https://www.moj-posao.net/Posao/540352/Sobar-Sobarica/
Inozemstvo,Austrija,Euro Career j.d.o.o.,Slastičar (m/ž),27.09.2021.,https://www.moj-posao.net/Posao/540351/Slasticar-mz/
Inozemstvo,Austrija,Euro Career j.d.o.o.,Maser (m/ž),27.09.2021.,https://www.moj-posao.net/Posao/540350/Maser-mz/
Inozemstvo,Austrija,Euro Career j.d.o.o.,Konobar (m/ž),27.09.2021.,https://www.moj-posao.net/Posao/540354/Konobar-mz/
Inozemstvo,Austrija,Euro Career j.d.o.o.,Kuhar (m/ž),27.09.2021.,https://www.moj-posao.net/Posao/540353/Kuhar-mz/
Inozemstvo,"Düsseldorf, Njemačka","ELTING, proizvodnja, prodaja i montaža limenih pokrova i fasada, d.o.o.",Fasader (m/ž),11.09.2021.,https://www.moj-posao.net/Posao/540131/Fasader-mz/
Inozemstvo,"Bayreuth, München, Njemačka",System Logistik GmbH,Vozač / Dostavljač (m/ž),03.09.2021.,https://www.moj-posao.net/Posao/539531/Vozac-Dostavljac-mz/
Inozemstvo,"Verona, Zagreb",DEKRA zapošljavanje d.o.o.,Purchasing Assistant (m/f),30.08.2021.,https://www.moj-posao.net/Posao/539571/Purchasing-Assistant-mf/
Inozemstvo,Zagreb,NOVA TV,Backend Developer (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/538698/Backend-Developer-mz/
Inozemstvo,"Laško, Slovenija","VALSIMONT proizvodnja in storitve, d.o.o.",Monter pvc stavbnega pohištva in senčil (m/ž),08.09.2021.,https://www.moj-posao.net/Posao/537803/Monter-pvc-stavbnega-pohistva-in-sencil-mz/
Inozemstvo,"Črnomelj, Slovenija",Akrapovič d.d.,Radnik u proizvodnji (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/535992/Radnik-u-proizvodnji-mz/
Inozemstvo,"Črnomelj, Slovenija",Akrapovič d.d.,Zavarivač - monter (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/536337/Zavarivac-monter-mz/
Inozemstvo,"Zagreb, rad od kuće",Smart Flex d.o.o.,Suradnik za poljsko tržište (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/535208/Suradnik-za-poljsko-trziste-mz/
Inozemstvo,"Zagreb, Varaždin, rad od kuće",Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem njemačkog jezika (m/ž),06.09.2021.,https://www.moj-posao.net/Posao/521403/Specijalist-korisnicke-podrske-sa-znanjem-njemackog-jezika-mz/
Inozemstvo,remote,USP MARKETING CONSULTANCY B.V.,Research Analyst (m/f),02.09.2021.,https://www.moj-posao.net/Posao/540525/Research-Analyst-mf/
Inozemstvo,Švicarska,"Direkt marketing, Andrej Ljubec s.p.",Pleskar (m/ž),22.09.2021.,https://www.moj-posao.net/Posao/540242/Pleskar-mz/
