Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Bjelovarsko-bilogorska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Bjelovarsko-bilogorska,Bjelovar,KTC d.d.,Skladišni radnik (m/ž),2021-08-30,https://www.posao.hr/oglasi/skladisni-radnik-m-z/759799/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Virovitičko-podravska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Virovitičko-podravska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Bjelovarsko-bilogorska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Bjelovarsko-bilogorska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-09-02,https://www.posao.hr/oglasi/business-manager-m-f/757365/
Virovitičko-podravska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Virovitičko-podravska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Bjelovarsko-bilogorska,Croatia,WorkToday International BV,Recruiter (m/f),2021-08-31,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,"Velika Mlaka, inozemstvo",U.P.I. Adžaga,Vozač C+E kategorije za međunarodni transport (m/ž),2021-09-03,https://www.posao.hr/oglasi/vozac-c-e-kategorije-za-medunarodni-transport-m-z/760837/
Virovitičko-podravska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-09-02,https://www.posao.hr/oglasi/business-manager-m-f/757365/
Bjelovarsko-bilogorska,Zagreb; Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer elektrotehnike (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-elektrotehnike-m-z/735362/
Bjelovarsko-bilogorska,Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer građevine - voditelj gradilišta u visokogradnji (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-gradevine-voditelj-gradilista-u-visokogradnji-m-z/749204/
Virovitičko-podravska,Croatia,WorkToday International BV,Recruiter (m/f),2021-08-31,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Vukovarsko-srijemska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Bjelovarsko-bilogorska,Hrvatska,Easy Consult d.o.o.,Ugostiteljski djelatnik (m/ž),2021-08-30,https://www.posao.hr/oglasi/ugostiteljski-djelatnik-m-z/745336/
Bjelovarsko-bilogorska,Home office,Sunbird Images,Android or iOS developer (m/f),2021-08-25,https://www.posao.hr/oglasi/android-or-ios-developer-m-f/756089/
Virovitičko-podravska,"Velika Mlaka, inozemstvo",U.P.I. Adžaga,Vozač C+E kategorije za međunarodni transport (m/ž),2021-09-03,https://www.posao.hr/oglasi/vozac-c-e-kategorije-za-medunarodni-transport-m-z/760837/
Vukovarsko-srijemska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Vukovarsko-srijemska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Bjelovarsko-bilogorska,Remote,AA Euro Croatia d.o.o.,Full Stack / Backend Developer (m/f),2021-08-31,https://www.posao.hr/oglasi/full-stack-backend-developer-m-f/748151/
Bjelovarsko-bilogorska,Croatia,WorkToday International BV,Recruiter (m/f),Do popune,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Virovitičko-podravska,Zagreb; Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer elektrotehnike (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-elektrotehnike-m-z/735362/
Virovitičko-podravska,Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer građevine - voditelj gradilišta u visokogradnji (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-gradevine-voditelj-gradilista-u-visokogradnji-m-z/749204/
Zadarska,Zadar,Metro Cash & Carry d.o.o.,Prodavač (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-m-z/761408/
Vukovarsko-srijemska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Vukovarsko-srijemska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-09-02,https://www.posao.hr/oglasi/business-manager-m-f/757365/
Bjelovarsko-bilogorska,Zagreb (terenski rad -...,Manpower Savjetovanje d.o.o.,Serviser za kranove i dizalice / Električar (m/ž),2021-08-31,https://www.posao.hr/oglasi/serviser-za-kranove-i-dizalice-elektricar-m-z/743887/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,Home-Office Tätigkeit ab sofort // Teilzeit / Vollzeit // Sales & Service // (m/w/d),2021-08-31,https://www.posao.hr/oglasi/home-office-tatigkeit-ab-sofort-teilzeit-vollzeit-sales-service-m-w-d/705062/
Virovitičko-podravska,Hrvatska,Easy Consult d.o.o.,Ugostiteljski djelatnik (m/ž),2021-08-30,https://www.posao.hr/oglasi/ugostiteljski-djelatnik-m-z/745336/
Virovitičko-podravska,Remote,AA Euro Croatia d.o.o.,Full Stack / Backend Developer (m/f),2021-08-31,https://www.posao.hr/oglasi/full-stack-backend-developer-m-f/748151/
Zadarska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Vukovarsko-srijemska,Croatia,WorkToday International BV,Recruiter (m/f),2021-08-31,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,Customer Care von Zuhause - ab sofort // Remote// Freelance // Inbound //  Teilzeit & Vollzeit (m/w/d),2021-08-27,https://www.posao.hr/oglasi/customer-care-von-zuhause-ab-sofort-remote-freelance-inbound-teilzeit-vollzeit-m-w-d/708799/
Sisačko-moslavačka,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Virovitičko-podravska,Croatia,WorkToday International BV,Recruiter (m/f),Do popune,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Virovitičko-podravska,Zagreb (terenski rad -...,Manpower Savjetovanje d.o.o.,Serviser za kranove i dizalice / Električar (m/ž),2021-08-31,https://www.posao.hr/oglasi/serviser-za-kranove-i-dizalice-elektricar-m-z/743887/
Zadarska,"Zagreb, Jasenice",Tifon d.o.o.,Gastro prodavač / Prodavač (m/ž),2021-09-10,https://www.posao.hr/oglasi/gastro-prodavac-prodavac-m-z/758760/
Zadarska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Vukovarsko-srijemska,"Velika Mlaka, inozemstvo",U.P.I. Adžaga,Vozač C+E kategorije za međunarodni transport (m/ž),2021-09-03,https://www.posao.hr/oglasi/vozac-c-e-kategorije-za-medunarodni-transport-m-z/760837/
Bjelovarsko-bilogorska,Grubišno Polje,Centar za socijalnu skrb Grubišno Polje,Socijalni radnik/socijalna radnica,2021-08-31,https://www.posao.hr/oglasi/socijalni-radnik-socijalna-radnica/761172/
Sisačko-moslavačka,Kutina,KTC d.d.,Vozač teretnog vozila (m/ž),2021-08-31,https://www.posao.hr/oglasi/vozac-teretnog-vozila-m-z/758439/
Sisačko-moslavačka,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Virovitičko-podravska,Europe / Home-Office /...,yoummday GmbH,Home-Office Tätigkeit ab sofort // Teilzeit / Vollzeit // Sales & Service // (m/w/d),2021-09-02,https://www.posao.hr/oglasi/home-office-tatigkeit-ab-sofort-teilzeit-vollzeit-sales-service-m-w-d/705062/
Virovitičko-podravska,Pitomača,IPSUS društvo s ograničenom odgovornošću za...,Pomoćni radnik/ ica montaža elektroinstalacija,2021-08-26,https://www.posao.hr/oglasi/pomocni-radnik-ica-montaza-elektroinstalacija/760692/
Splitsko-dalmatinska,Makarska,KTC-Jadran.d.o.o.,Konobar (m/ž),2021-09-06,https://www.posao.hr/oglasi/konobar-m-z/761387/
Zadarska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Zadarska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Vukovarsko-srijemska,field - Slavonia,Workforce Ljudski Potencijali d.o.o.,Heavy Equipment Sales Representative (m/f),2021-09-05,https://www.posao.hr/oglasi/heavy-equipment-sales-representative-m-f/760460/
