Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Bjelovarsko-bilogorska,Croatia,WorkToday International BV,Recruiter (m/f),41 dan do isteka,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,Bjelovar,KTC d.d.,Kuhar (m/ž),19 dana do isteka,https://www.posao.hr/oglasi/kuhar-m-z/752747/
Bjelovarsko-bilogorska,remote anywhere from Croatia,Camaloon,Customer Support Coordinator (m/f),17 dana do isteka,https://www.posao.hr/oglasi/customer-support-coordinator-m-f/752124/
Bjelovarsko-bilogorska,Hrvatska,Court of Justice of the European Union,Vanjski prevoditelj (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/vanjski-prevoditelj-m-z/750405/
Bjelovarsko-bilogorska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2 dana do isteka,https://www.posao.hr/oglasi/customer-support-specialist-m-f/748815/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),Danas istječe,https://www.posao.hr/oglasi/sales-development-representative-m-f/748475/
Bjelovarsko-bilogorska,Zagreb or remote from anywhere in Croatia,Camaloon,B2B Sales Specialist (m/f),Danas istječe,https://www.posao.hr/oglasi/b2b-sales-specialist-m-f/748474/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Success Specialist (m/f),Danas istječe,https://www.posao.hr/oglasi/customer-success-specialist-m-f/748473/
Bjelovarsko-bilogorska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Slovenian,22 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-slovenian/753015/
Bjelovarsko-bilogorska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Croatian and Macedonian (m/f),22 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-and-macedonian-m-f/753014/
Bjelovarsko-bilogorska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),22 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/753013/
Bjelovarsko-bilogorska,Remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Spanish (m/f),22 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-spanish-m-f/742927/
Bjelovarsko-bilogorska,Remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Italian (m/f),22 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-italian-m-f/742926/
Bjelovarsko-bilogorska,Online / Remote,Learnlight Services,Junior Program Management Administrator - German & English (m/f),24 dana do isteka,https://www.posao.hr/oglasi/junior-program-management-administrator-german-english-m-f/752461/
Bjelovarsko-bilogorska,rad od kuće,Lidija obrt za posredovanje vl. Lidija Čevra,Stručni suradnik na izvornom njemačkom jeziku (m/ž),2 dana do isteka,https://www.posao.hr/oglasi/strucni-suradnik-na-izvornom-njemackom-jeziku-m-z/754141/
Bjelovarsko-bilogorska,"rad od kuće, Zagreb ili...",Workforce Ljudski Potencijali d.o.o.,Agent u korisničkoj podršci na slovenskom i engleskom jeziku (m/ž),4 dana do isteka,https://www.posao.hr/oglasi/agent-u-korisnickoj-podrsci-na-slovenskom-i-engleskom-jeziku-m-z/733493/
Bjelovarsko-bilogorska,Croatia,WorkToday International BV,Recruiter (m/f),41 dan do isteka,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, rad od kuće",Workforce Ljudski Potencijali d.o.o.,Agent u korisničkoj podršci na njemačkom jeziku (ž/m),4 dana do isteka,https://www.posao.hr/oglasi/agent-u-korisnickoj-podrsci-na-njemackom-jeziku-z-m/704650/
Bjelovarsko-bilogorska,Zagreb; Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer elektrotehnike (m/ž),2 dana do isteka,https://www.posao.hr/oglasi/inzenjer-elektrotehnike-m-z/735362/
Bjelovarsko-bilogorska,Zagreb / Varaždin / home office,Workforce Ljudski Potencijali d.o.o.,"Customer Support Specialist – French, Italian and English (m/f)",4 dana do isteka,https://www.posao.hr/oglasi/customer-support-specialist-french-italian-and-english-m-f/731149/
Bjelovarsko-bilogorska,"Sve županije, prema...",KADRA JOBS za Klijenta,Agent za korisničku podršku na njemačkom jeziku - Home Office (m/ž/d),19 dana do isteka,https://www.posao.hr/oglasi/agent-za-korisnicku-podrsku-na-njemackom-jeziku-home-office-m-z-d/752760/
Bjelovarsko-bilogorska,Zagreb (terenski rad -...,Manpower Savjetovanje d.o.o.,Serviser za kranove i dizalice / Električar (m/ž),Do popune,https://www.posao.hr/oglasi/serviser-za-kranove-i-dizalice-elektricar-m-z/743887/
Bjelovarsko-bilogorska,Hrvatska,Sud Europske unije,Vanjski prevoditelj (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/vanjski-prevoditelj-m-z/750405/
Grad Zagreb,Zagreb,American Embassy,Computer Management Assistant (m/f),5 dana do isteka,https://www.posao.hr/oglasi/computer-management-assistant-m-f/754939/
Grad Zagreb,Zagreb,American Embassy,Computer Management Assistant /m/f) - Substitution of Experience for Education,5 dana do isteka,https://www.posao.hr/oglasi/computer-management-assistant-m-f-substitution-of-experience-for-education/754938/
Grad Zagreb,Zagreb,Auto Benussi d.o.o.,Administrator (m/ž),12 dana do isteka,https://www.posao.hr/oglasi/administrator-m-z/754372/
Grad Zagreb,Zagreb,Camaloon,Administrator za ljudske potencijale (m/ž),25 dana do isteka,https://www.posao.hr/oglasi/administrator-za-ljudske-potencijale-m-z/754150/
Grad Zagreb,Zagreb,Camaloon,Financijski administrator (m/ž),24 dana do isteka,https://www.posao.hr/oglasi/financijski-administrator-m-z/753900/
Grad Zagreb,Croatia,WorkToday International BV,Recruiter (m/f),41 dan do isteka,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Grad Zagreb,Vrbovec,KTC d.d.,Čistač (m/ž),22 dana do isteka,https://www.posao.hr/oglasi/cistac-m-z/753009/
Grad Zagreb,Vrbovec,KTC d.d.,Kuhar (m/ž),19 dana do isteka,https://www.posao.hr/oglasi/kuhar-m-z/752746/
Grad Zagreb,Zagreb,CadCam Design Centar d.o.o.,Voditelj/ica marketinga,2 dana do isteka,https://www.posao.hr/oglasi/voditelj-ica-marketinga/752453/
Grad Zagreb,Zagreb,Amrest Adria d.o.o. / KFC,Djelatnik u restoranu (m/ž),1 dan do isteka,https://www.posao.hr/oglasi/djelatnik-u-restoranu-m-z/752444/
Grad Zagreb,Zagreb,posao.hr,Savjetnik za selekciju i zapošljavanje (m/ž),Danas istječe,https://www.posao.hr/oglasi/savjetnik-za-selekciju-i-zaposljavanje-m-z/752125/
Grad Zagreb,remote anywhere from Croatia,Camaloon,Customer Support Coordinator (m/f),17 dana do isteka,https://www.posao.hr/oglasi/customer-support-coordinator-m-f/752124/
Grad Zagreb,Jankomir - Zagreb,Camaloon,Supply Chain Specialist (m/f),15 dana do isteka,https://www.posao.hr/oglasi/supply-chain-specialist-m-f/751774/
Grad Zagreb,Hrvatska,Court of Justice of the European Union,Vanjski prevoditelj (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/vanjski-prevoditelj-m-z/750405/
