Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Bjelovarsko-bilogorska,rad od kuće (remote),DDC Multilingual Services d.o.o.,Customs Broker za nizozemski jezik (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/customs-broker-za-nizozemski-jezik-m-z/709492/
Bjelovarsko-bilogorska,Hrvatska,C.P.A. srl,Predstavnik za prodaju bazena (m/ž),5 dana do isteka,https://www.posao.hr/oglasi/predstavnik-za-prodaju-bazena-m-z/708250/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Pomoćni građevinski radnik (m/ž) ,29 dana do isteka,https://www.posao.hr/oglasi/pomocni-gradevinski-radnik-m-z/710104/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Samostalni zidar (m/ž) ,29 dana do isteka,https://www.posao.hr/oglasi/samostalni-zidar-m-z/710103/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Građevinski radnik (m/ž) ,7 dana do isteka,https://www.posao.hr/oglasi/gradevinski-radnik-m-z/707438/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Knaufer / Soboslikar (m/ž) ,7 dana do isteka,https://www.posao.hr/oglasi/knaufer-soboslikar-m-z/707437/
Bjelovarsko-bilogorska,home office,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),3 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/706422/
Bjelovarsko-bilogorska,"UK, Austria, Slovenia,...",Helena Vehovec s.p.,Hotel Staff (m/f),Do popune,https://www.posao.hr/oglasi/hotel-staff-m-f/677683/
Bjelovarsko-bilogorska,Croatia & Slovenia,Helena Vehovec s.p.,Shop Staff (m/f),Do popune,https://www.posao.hr/oglasi/shop-staff-m-f/687206/
Bjelovarsko-bilogorska,"Zagreb, Hrvatska  ",Mivatech d.o.o.,Skladištar / Dostavljač (m/ž),17 dana do isteka,https://www.posao.hr/oglasi/skladistar-dostavljac-m-z/705055/
Bjelovarsko-bilogorska,"Zagreb, Hrvatska i/ili...",Mivatech d.o.o.,Instalater grijanja / Vodoinstalater (m/ž),19 dana do isteka,https://www.posao.hr/oglasi/instalater-grijanja-vodoinstalater-m-z/705215/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,"Work from Home – Kundenservice im Home-Office, Europaweit (m/w/d)",9 dana do isteka,https://www.posao.hr/oglasi/work-from-home-kundenservice-im-home-office-europaweit-m-w-d/708799/
Bjelovarsko-bilogorska,Bjelovar i okolica...,Grawe Hrvatska d.d.,Predstavnik prodaje (ž/m) ,8 dana do isteka,https://www.posao.hr/oglasi/predstavnik-prodaje-z-m/707658/
Bjelovarsko-bilogorska,cijela Hrvatska,Gromela Centar d.o.o.,Dipl. ing. građevinarstva (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/dipl-ing-gradevinarstva-m-z/707122/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,Sales Profis im Home-Office gesucht // Sales & Service // Beratung (m/wd),9 dana do isteka,https://www.posao.hr/oglasi/sales-profis-im-home-office-gesucht-sales-service-beratung-m-wd/705062/
Virovitičko-podravska,rad od kuće (remote),DDC Multilingual Services d.o.o.,Customs Broker za nizozemski jezik (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/customs-broker-za-nizozemski-jezik-m-z/709492/
Virovitičko-podravska,Slavonija i Dalmacija,Auro Domus d.o.o.,Trgovac (m/ž),1 dan do isteka,https://www.posao.hr/oglasi/trgovac-m-z/708984/
Virovitičko-podravska,Hrvatska,Tehno Štefanović d.o.o.,Pomoćni građevinski radnik (m/ž) ,29 dana do isteka,https://www.posao.hr/oglasi/pomocni-gradevinski-radnik-m-z/710104/
Virovitičko-podravska,Hrvatska,Tehno Štefanović d.o.o.,Samostalni zidar (m/ž) ,29 dana do isteka,https://www.posao.hr/oglasi/samostalni-zidar-m-z/710103/
Virovitičko-podravska,Hrvatska,Tehno Štefanović d.o.o.,Građevinski radnik (m/ž) ,7 dana do isteka,https://www.posao.hr/oglasi/gradevinski-radnik-m-z/707438/
Virovitičko-podravska,Hrvatska,Tehno Štefanović d.o.o.,Knaufer / Soboslikar (m/ž) ,7 dana do isteka,https://www.posao.hr/oglasi/knaufer-soboslikar-m-z/707437/
Virovitičko-podravska,home office,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),3 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/706422/
Virovitičko-podravska,"UK, Austria, Slovenia,...",Helena Vehovec s.p.,Hotel Staff (m/f),Do popune,https://www.posao.hr/oglasi/hotel-staff-m-f/677683/
Virovitičko-podravska,Croatia & Slovenia,Helena Vehovec s.p.,Shop Staff (m/f),Do popune,https://www.posao.hr/oglasi/shop-staff-m-f/687206/
Virovitičko-podravska,"Zagreb, Hrvatska  ",Mivatech d.o.o.,Skladištar / Dostavljač (m/ž),17 dana do isteka,https://www.posao.hr/oglasi/skladistar-dostavljac-m-z/705055/
Virovitičko-podravska,"Zagreb, Hrvatska i/ili...",Mivatech d.o.o.,Instalater grijanja / Vodoinstalater (m/ž),19 dana do isteka,https://www.posao.hr/oglasi/instalater-grijanja-vodoinstalater-m-z/705215/
Virovitičko-podravska,Europe / Home-Office /...,yoummday GmbH,"Work from Home – Kundenservice im Home-Office, Europaweit (m/w/d)",9 dana do isteka,https://www.posao.hr/oglasi/work-from-home-kundenservice-im-home-office-europaweit-m-w-d/708799/
Virovitičko-podravska,cijela Hrvatska,Gromela Centar d.o.o.,Dipl. ing. građevinarstva (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/dipl-ing-gradevinarstva-m-z/707122/
Virovitičko-podravska,Europe / Home-Office /...,yoummday GmbH,Sales Profis im Home-Office gesucht // Sales & Service // Beratung (m/wd),9 dana do isteka,https://www.posao.hr/oglasi/sales-profis-im-home-office-gesucht-sales-service-beratung-m-wd/705062/
Virovitičko-podravska,Virovitica,GM BAU društvo s ograničenom odgovornošću za...,Radnik/ca u građevini,29 dana do isteka,https://www.posao.hr/oglasi/radnik-ca-u-gradevini/710464/
Vukovarsko-srijemska,rad od kuće (remote),DDC Multilingual Services d.o.o.,Customs Broker za nizozemski jezik (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/customs-broker-za-nizozemski-jezik-m-z/709492/
Vukovarsko-srijemska,Slavonija i Dalmacija,Auro Domus d.o.o.,Trgovac (m/ž),1 dan do isteka,https://www.posao.hr/oglasi/trgovac-m-z/708984/
Vukovarsko-srijemska,Hrvatska,Tehno Štefanović d.o.o.,Pomoćni građevinski radnik (m/ž) ,29 dana do isteka,https://www.posao.hr/oglasi/pomocni-gradevinski-radnik-m-z/710104/
Vukovarsko-srijemska,Hrvatska,Tehno Štefanović d.o.o.,Samostalni zidar (m/ž) ,29 dana do isteka,https://www.posao.hr/oglasi/samostalni-zidar-m-z/710103/
